@attribute calories,protein,fat,sodium,dietary_fiber,carbohydrates,sugar,x
@header name,calories,protein,fat,sodium,dietary_fiber,carbohydrates,sugar,x
@data
100_percent_bran,70,4,1,130,10,5,6,280
100_percent_natural_bran,120,3,5,15,2,8,8,135
all-bran,70,4,1,260,9,7,5,320
all-bran_with_extra_fiber,50,4,0,140,14,8,0,330
almond_delight,110,2,2,200,1,14,8,-1
apple_cinnamon_cheerios,110,2,2,180,1.5,10.5,10,70
apple_jacks,110,2,0,125,1,11,14,30
basic_4,130,3,2,210,2,18,8,100
bran_chex,90,2,1,200,4,15,6,125
bran_flakes,90,3,0,210,5,13,5,190
cap'n'crunch,120,1,2,220,0,12,12,35
cheerios,110,6,2,290,2,17,1,105
cinnamon_toast_crunch,120,1,3,210,0,13,9,45
clusters,110,3,2,140,2,13,7,105
cocoa_puffs,110,1,1,180,0,12,13,55
corn_chex,110,2,0,280,0,22,3,25
corn_flakes,100,2,0,290,1,21,2,35
corn_pops,110,1,0,90,1,13,12,20
count_chocula,110,1,1,180,0,12,13,65
cracklin'_oat_bran,110,3,3,140,4,10,7,160
cream_of_wheat_(quick),100,3,0,80,1,21,0,-1
crispix,110,2,0,220,1,21,3,30
crispy_wheat_and_raisins,100,2,1,140,2,11,10,120
double_chex,100,2,0,190,1,18,5,80
froot_loops,110,2,1,125,1,11,13,30
frosted_flakes,110,1,0,200,1,14,11,25
frosted_mini-wheats,100,3,0,0,3,14,7,100
fruit_and_fibre,120,3,2,160,5,12,10,200
fruitful_bran,120,3,0,240,5,14,12,190
fruity_pebbles,110,1,1,135,0,13,12,25
golden_crisp,100,2,0,45,0,11,15,40
golden_grahams,110,1,1,280,0,15,9,45
grape_nuts_flakes,100,3,1,140,3,15,5,85
grape-nuts,110,3,0,170,3,17,3,90
great_grains_pecan,120,3,3,75,3,13,4,100
honey_graham_ohs,120,1,2,220,1,12,11,45
honey_nut_cheerios,110,3,1,250,1.5,11.5,10,90
honey-comb,110,1,0,180,0,14,11,35
just_right_crunchy__nuggets,110,2,1,170,1,17,6,60
just_right_fruit_and_nut,140,3,1,170,2,20,9,95
kix,110,2,1,260,0,21,3,40
life,100,4,2,150,2,12,6,95
lucky_charms,110,2,1,180,0,12,12,55
maypo,100,4,1,0,0,16,3,95
muesli_raisins_and_almonds,150,4,3,95,3,16,11,170
muesli_peaches_and_pecans,150,4,3,150,3,16,11,170
mueslix_crispy_blend,160,3,2,150,3,17,13,160
multi-grain_cheerios,100,2,1,220,2,15,6,90
nutandhoney_crunch,120,2,1,190,0,15,9,40
nutri-grain_almond-raisin,140,3,2,220,3,21,7,130
nutri-grain_wheat,90,3,0,170,3,18,2,90
oatmeal_raisin_crisp,130,3,2,170,1.5,13.5,10,120
post_nat._raisin_bran,120,3,1,200,6,11,14,260
product_19,100,3,0,320,1,20,3,45
puffed_rice,50,1,0,0,0,13,0,15
puffed_wheat,50,2,0,0,1,10,0,50
quaker_oat_squares,100,4,1,135,2,14,6,110
quaker_oatmeal,100,5,2,0,2.7,-1,-1,110
raisin_bran,120,3,1,210,5,14,12,240
raisin_nut_bran,100,3,2,140,2.5,10.5,8,140
raisin_squares,90,2,0,0,2,15,6,110
rice_chex,110,1,0,240,0,23,2,30
rice_krispies,110,2,0,290,0,22,3,35
shredded_wheat,80,2,0,0,3,16,0,95
shredded_wheat_n_bran,90,3,0,0,4,19,0,140
shredded_wheat_spoon_size,90,3,0,0,3,20,0,120
smacks,110,2,1,70,1,9,15,40
special_k,110,6,0,230,1,16,3,55
strawberry_fruit_wheats,90,2,0,15,3,15,5,90
total_corn_flakes,110,2,1,200,0,21,3,35
total_raisin_bran,140,3,1,190,4,15,14,230
total_whole_grain,100,3,1,200,3,16,3,110
triples,110,2,1,250,0,21,3,60
trix,110,1,1,140,0,13,12,25
wheat_chex,100,3,1,230,3,17,3,115
wheaties,100,3,1,200,3,17,3,110
wheaties_honey_gold,110,2,1,200,1,16,8,60
@end_data
