@attribute a,b,c,d,e,f,g,h
@header name,a,b,c,d,e,f,g,h
@data
chevrolet_chevelle_malibu,18.0,8,307.0,130.0,3504.0,12.0,70,1
buick_skylark_320,15.0,8,350.0,165.0,3693.0,11.5,70,1
plymouth_satellite,18.0,8,318.0,150.0,3436.0,11.0,70,1
amc_rebel_sst,16.0,8,304.0,150.0,3433.0,12.0,70,1
ford_torino,17.0,8,302.0,140.0,3449.0,10.5,70,1
ford_galaxie_500,15.0,8,429.0,198.0,4341.0,10.0,70,1
chevrolet_impala,14.0,8,454.0,220.0,4354.0,9.0,70,1
plymouth_fury_iii,14.0,8,440.0,215.0,4312.0,8.5,70,1
pontiac_catalina,14.0,8,455.0,225.0,4425.0,10.0,70,1
amc_ambassador_dpl,15.0,8,390.0,190.0,3850.0,8.5,70,1
dodge_challenger_se,15.0,8,383.0,170.0,3563.0,10.0,70,1
plymouth_'cuda_340,14.0,8,340.0,160.0,3609.0,8.0,70,1
chevrolet_monte_carlo,15.0,8,400.0,150.0,3761.0,9.5,70,1
buick_estate_wagon_(sw),14.0,8,455.0,225.0,3086.0,10.0,70,1
toyota_corona_mark_ii,24.0,4,113.0,95.00,2372.0,15.0,70,3
plymouth_duster,22.0,6,198.0,95.00,2833.0,15.5,70,1
amc_hornet,18.0,6,199.0,97.00,2774.0,15.5,70,1
ford_maverick,21.0,6,200.0,85.00,2587.0,16.0,70,1
datsun_pl510,27.0,4,97.00,88.00,2130.0,14.5,70,3
volkswagen_1131_deluxe_sedan,26.0,4,97.00,46.00,1835.0,20.5,70,2
peugeot_504,25.0,4,110.0,87.00,2672.0,17.5,70,2
audi_100_ls,24.0,4,107.0,90.00,2430.0,14.5,70,2
saab_99e,25.0,4,104.0,95.00,2375.0,17.5,70,2
bmw_2002,26.0,4,121.0,113.0,2234.0,12.5,70,2
amc_gremlin,21.0,6,199.0,90.00,2648.0,15.0,70,1
ford_f250,10.0,8,360.0,215.0,4615.0,14.0,70,1
chevy_c20,10.0,8,307.0,200.0,4376.0,15.0,70,1
dodge_d200,11.0,8,318.0,210.0,4382.0,13.5,70,1
hi_1200d,9.0,8,304.0,193.0,4732.0,18.5,70,1
datsun_pl510,27.0,4,97.00,88.00,2130.0,14.5,71,3
chevrolet_vega_2300,28.0,4,140.0,90.00,2264.0,15.5,71,1
toyota_corona,25.0,4,113.0,95.00,2228.0,14.0,71,3
amc_gremlin,19.0,6,232.0,100.0,2634.0,13.0,71,1
plymouth_satellite_custom,16.0,6,225.0,105.0,3439.0,15.5,71,1
chevrolet_chevelle_malibu,17.0,6,250.0,100.0,3329.0,15.5,71,1
ford_torino_500,19.0,6,250.0,88.00,3302.0,15.5,71,1
amc_matador,18.0,6,232.0,100.0,3288.0,15.5,71,1
chevrolet_impala,14.0,8,350.0,165.0,4209.0,12.0,71,1
pontiac_catalina_brougham,14.0,8,400.0,175.0,4464.0,11.5,71,1
ford_galaxie_500,14.0,8,351.0,153.0,4154.0,13.5,71,1
plymouth_fury_iii,14.0,8,318.0,150.0,4096.0,13.0,71,1
dodge_monaco_(sw),12.0,8,383.0,180.0,4955.0,11.5,71,1
ford_country_squire_(sw),13.0,8,400.0,170.0,4746.0,12.0,71,1
pontiac_safari_(sw),13.0,8,400.0,175.0,5140.0,12.0,71,1
amc_hornet_sportabout_(sw),18.0,6,258.0,110.0,2962.0,13.5,71,1
chevrolet_vega_(sw),22.0,4,140.0,72.00,2408.0,19.0,71,1
